x,y,z,id
-1.51,-4.0,-2.14,7
-1.01,-4.0,-1.93,7
-1.73,-2.87,-0.76,7
-3.73,0.71,0.87,7
-4.0,2.19,1.97,7
-2.81,3.61,4.0,7
-1.27,3.86,4.0,7
-0.33,2.96,3.65,7
-0.95,2.01,2.64,7
-1.77,0.12,0.54,7
-1.65,-0.62,0.03,7
-0.91,-1.76,-0.29,7
-0.56,-2.15,-0.34,7
-0.13,-2.35,-0.34,7
-0.07,-2.12,-0.22,7
-0.1,-1.19,0.31,7
-0.11,-0.72,0.6,7
-0.09,-0.0,1.07,7
-0.07,0.26,1.27,7
0.02,0.56,1.62,7
0.06,0.58,1.72,7
0.06,0.31,1.59,7
0.04,0.07,1.36,7
0.01,-0.37,0.92,7
0.02,-0.5,0.79,7
0.03,-0.6,0.7,7
0.04,-0.57,0.71,7
0.05,-0.38,0.82,7
0.06,-0.27,0.89,7
0.06,-0.13,1.01,7
0.06,-0.1,1.04,7
0.06,-0.14,1.07,7
0.05,-0.19,1.08,7
0.04,-0.3,1.05,7
0.05,-0.33,0.96,7
0.05,-0.33,0.92,7
0.05,-0.27,0.88,7
0.05,-0.23,0.91,7
0.05,-0.21,0.99,7
0.05,-0.21,1.02,7
0.05,-0.24,1.03,7
0.04,-0.25,1.01,7
0.05,-0.26,0.97,7
0.05,-0.26,0.96,7
0.05,-0.26,0.94,7
0.05,-0.26,0.95,7
0.05,-0.26,0.98,7
0.05,-0.26,0.99,7
0.04,-0.24,0.99,7
0.04,-0.24,0.97,7
0.03,-0.25,0.97,7
0.03,-0.25,0.98,7
0.04,-0.22,0.98,7
0.04,-0.22,0.98,7
0.04,-0.27,1.0,7
0.04,-0.28,1.01,7
0.05,-0.25,1.01,7
0.05,-0.23,1.0,7
0.03,-0.25,1.05,7
0.03,-0.28,1.09,7
0.03,-0.33,1.13,7
0.04,-0.34,1.08,7
0.05,-0.35,0.94,7
0.05,-0.4,0.89,7
0.05,-0.59,0.87,7
